"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"237","JX898179.1.1548",0.0422535211267606,"Bacteria","Acidobacteria","Subgroup 6","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"1","AB257635.1.1477",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas",NA,"Aureimonas","Rhizobiaceae"
"15","AF125876.1.1529",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"20","AJ440990.1.1550",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus",NA,"Planococcus","Planococcaceae"
"30","APQB01000020.493579.495105",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Acinetobacter","Moraxellaceae"
"32","AY030334.1.1514",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"47","AYZN01000032.115.1658",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured bacterium","Lactobacillus","Lactobacillaceae"
"50","BBPI01000114.335.1824",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"54","CP002568.631832.633307",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae",NA,NA,NA,"Stappiaceae"
"55","CP006941.13451.15024",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA,"Paenibacillus","Paenibacillaceae"
"58","CP014226.105426.106962",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA,"Halomonas","Halomonadaceae"
"60","CP019158.175094.176630",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,"Sphingobacterium","Sphingobacteriaceae"
"92","EU771597.1.1411",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"98","EU935284.1.1486",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aurantimonas",NA,"Aurantimonas","Rhizobiaceae"
